Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,196,5,Some Random Commen with Id 0
1,0,3,24,3,Some Random Commen with Id 1
2,1,3,164,6,Some Random Commen with Id 2
3,3,4,196,7,Some Random Commen with Id 3
4,3,4,103,4,Some Random Commen with Id 4
5,3,4,86,5,Some Random Commen with Id 5
6,4,3,94,7,Some Random Commen with Id 6
7,4,3,42,8,Some Random Commen with Id 7
8,5,8,87,9,Some Random Commen with Id 8
9,5,8,181,0,Some Random Commen with Id 9
10,5,8,113,0,Some Random Commen with Id 10
11,5,8,65,9,Some Random Commen with Id 11
12,6,1,95,9,Some Random Commen with Id 12
13,6,1,92,8,Some Random Commen with Id 13
14,6,1,62,5,Some Random Commen with Id 14
15,6,1,155,8,Some Random Commen with Id 15
16,6,1,95,1,Some Random Commen with Id 16
17,6,1,43,4,Some Random Commen with Id 17
18,6,1,121,1,Some Random Commen with Id 18
19,6,1,25,8,Some Random Commen with Id 19
20,6,1,85,6,Some Random Commen with Id 20
21,7,2,24,3,Some Random Commen with Id 21
22,7,2,86,9,Some Random Commen with Id 22
23,8,6,8,4,Some Random Commen with Id 23
24,8,6,173,8,Some Random Commen with Id 24
25,8,6,97,8,Some Random Commen with Id 25
26,8,6,126,7,Some Random Commen with Id 26
27,8,6,3,2,Some Random Commen with Id 27
28,8,6,77,5,Some Random Commen with Id 28
29,8,6,155,1,Some Random Commen with Id 29
30,8,6,168,4,Some Random Commen with Id 30
31,9,7,173,5,Some Random Commen with Id 31
32,9,7,93,5,Some Random Commen with Id 32
33,9,7,49,8,Some Random Commen with Id 33
34,9,7,198,2,Some Random Commen with Id 34
35,9,7,61,4,Some Random Commen with Id 35
36,9,7,36,9,Some Random Commen with Id 36
37,9,7,101,6,Some Random Commen with Id 37
38,10,0,158,5,Some Random Commen with Id 38
39,10,0,15,1,Some Random Commen with Id 39
40,10,0,164,0,Some Random Commen with Id 40
41,10,0,78,6,Some Random Commen with Id 41
42,10,0,133,2,Some Random Commen with Id 42
43,10,0,181,3,Some Random Commen with Id 43
44,11,0,75,1,Some Random Commen with Id 44
45,11,0,119,7,Some Random Commen with Id 45
46,11,0,112,9,Some Random Commen with Id 46
47,11,0,69,9,Some Random Commen with Id 47
48,11,0,189,6,Some Random Commen with Id 48
49,11,0,117,9,Some Random Commen with Id 49
50,12,8,88,3,Some Random Commen with Id 50
51,12,8,109,4,Some Random Commen with Id 51
52,12,8,63,6,Some Random Commen with Id 52
